2026-02-26 21:21:22,208 | INFO | Connecting to wss://api.polymarket.us/v1/ws/markets
2026-02-26 21:21:22,828 | INFO | Connected to wss://api.polymarket.us/v1/ws/markets
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-mia-phi-2026-02-26 | Best Bid: (None, None) | Best Ask: (Decimal('0.030'), Decimal('1313.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-mia-phi-2026-02-26-inverse | Best Bid: (Decimal('0.970'), Decimal('1313.000')) | Best Ask: (None, None)
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-sa-bkn-2026-02-26 | Best Bid: (Decimal('0.980'), Decimal('1534.000')) | Best Ask: (Decimal('0.990'), Decimal('4544.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-sa-bkn-2026-02-26-inverse | Best Bid: (Decimal('0.010'), Decimal('4544.000')) | Best Ask: (Decimal('0.020'), Decimal('1534.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-por-chi-2026-02-26 | Best Bid: (Decimal('0.690'), Decimal('2584.000')) | Best Ask: (Decimal('0.710'), Decimal('50.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-por-chi-2026-02-26-inverse | Best Bid: (Decimal('0.290'), Decimal('50.000')) | Best Ask: (Decimal('0.310'), Decimal('2584.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-was-atl-2026-02-26 | Best Bid: (Decimal('0.010'), Decimal('9182.000')) | Best Ask: (Decimal('0.030'), Decimal('3949.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-was-atl-2026-02-26-inverse | Best Bid: (Decimal('0.970'), Decimal('3949.000')) | Best Ask: (Decimal('0.990'), Decimal('9182.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-hou-orl-2026-02-26 | Best Bid: (Decimal('0.160'), Decimal('3262.000')) | Best Ask: (Decimal('0.190'), Decimal('2594.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-hou-orl-2026-02-26-inverse | Best Bid: (Decimal('0.810'), Decimal('2594.000')) | Best Ask: (Decimal('0.840'), Decimal('3262.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26 | Best Bid: (Decimal('0.740'), Decimal('3270.000')) | Best Ask: (Decimal('0.760'), Decimal('30.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-sac-dal-2026-02-26-inverse | Best Bid: (Decimal('0.240'), Decimal('30.000')) | Best Ask: (Decimal('0.260'), Decimal('3270.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.560'), Decimal('3730.000')) | Best Ask: (Decimal('0.590'), Decimal('3568.000'))
2026-02-26 21:21:22,860 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.410'), Decimal('3568.000')) | Best Ask: (Decimal('0.440'), Decimal('3730.000'))
