2026-03-10 20:28:03,235 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR111835TORNYY-NYY | Best Bid: (0.56, 603.0) | Best Ask: (Decimal('0.6000'), 794.0)
2026-03-10 20:28:03,235 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR111835TORNYY-TOR | Best Bid: (0.4, 397.0) | Best Ask: (Decimal('0.4400'), 1206.0)
2026-03-10 20:28:03,239 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305BOSMIN-BOS | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6300'), 50.0)
2026-03-10 20:28:03,239 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305BOSMIN-MIN | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6300'), 50.0)
2026-03-10 20:28:03,241 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305NYMSTL-NYM | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6100'), 61.0)
2026-03-10 20:28:03,242 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305NYMSTL-STL | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6100'), 35.0)
2026-03-10 20:28:03,243 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305NYYDET-DET | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6400'), 50.0)
2026-03-10 20:28:03,244 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305NYYDET-NYY | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6300'), 5.0)
2026-03-10 20:28:03,244 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305TORPHI-PHI | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 141.0)
2026-03-10 20:28:03,245 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121305TORPHI-TOR | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6300'), 75.0)
2026-03-10 20:28:03,246 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121605ATHTEX-ATH | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6000'), 36.0)
2026-03-10 20:28:03,246 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121605ATHTEX-TEX | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.5800'), 39.0)
2026-03-10 20:28:03,246 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121605SEACHC-CHC | Best Bid: (0.07, 10.0) | Best Ask: (Decimal('0.6000'), 118.0)
2026-03-10 20:28:03,255 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121605SEACHC-SEA | Best Bid: (0.07, 10.0) | Best Ask: (Decimal('0.6000'), 37.0)
2026-03-10 20:28:03,257 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121610COLAZ-AZ | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6000'), 5.0)
2026-03-10 20:28:03,260 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121610COLAZ-COL | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6100'), 59.0)
2026-03-10 20:28:03,262 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121805ATLPIT-ATL | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.5900'), 5.0)
2026-03-10 20:28:03,263 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121805ATLPIT-PIT | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6100'), 154.0)
2026-03-10 20:28:03,263 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121805WSHHOU-HOU | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6300'), 50.0)
2026-03-10 20:28:03,264 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR121805WSHHOU-WSH | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 138.0)
2026-03-10 20:28:03,265 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105CINLAD-CIN | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6300'), 50.0)
2026-03-10 20:28:03,266 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105CINLAD-LAD | Best Bid: (0.1, 4.0) | Best Ask: (Decimal('0.6700'), 62.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105CWSSF-CWS | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 49.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105CWSSF-SF | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.6200'), 41.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105MILCLE-CLE | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 127.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122105MILCLE-MIL | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 152.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122110KCSD-KC | Best Bid: (0.06, 10.0) | Best Ask: (Decimal('0.6200'), 139.0)
2026-03-10 20:28:03,267 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR122110KCSD-SD | Best Bid: (0.07, 5.0) | Best Ask: (Decimal('0.5400'), 66.0)
2026-03-10 20:28:03,272 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100CALLOY-CAL | Best Bid: (0.5, 52.0) | Best Ask: (Decimal('0.9600'), 112.0)
2026-03-10 20:28:03,274 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100CALLOY-LOY | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.5000'), 52.0)
2026-03-10 20:28:03,276 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100PITSAN-PIT | Best Bid: (0.5, 52.0) | Best Ask: (Decimal('0.9600'), 25.0)
2026-03-10 20:28:03,277 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100PITSAN-SAN | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.5000'), 155.0)
2026-03-10 20:28:03,278 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100SDSCFT-CFT | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.9600'), 100.0)
2026-03-10 20:28:03,286 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100SDSCFT-SDS | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.9600'), 126.0)
2026-03-10 20:28:03,286 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100UCIAUCLA-UCIA | Best Bid: (0.21, 105.0) | Best Ask: (Decimal('0.2500'), 500.0)
2026-03-10 20:28:03,293 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100UCIAUCLA-UCLA | Best Bid: (0.73, 634.0) | Best Ask: (Decimal('0.8200'), 520.0)
2026-03-10 20:28:03,294 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100UMASSH-SSH | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.9500'), 116.0)
2026-03-10 20:28:03,296 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102100UMASSH-UMA | Best Bid: (0.04, 25.0) | Best Ask: (Decimal('0.9600'), 114.0)
2026-03-10 20:28:03,296 | INFO | Loaded snapshot for Asset ID: KXNCAABBGAME-26MAR102105CALSAN-CAL | Best Bid: (0.5, 52.0) | Best Ask: (Decimal('0.9600'), 25.0)
