2026-03-12 21:26:58,553 | INFO | Connected! Subscribing to orderbook for KXMLBSTGAME-26MAR132110LADSEA-LAD, KXMLBSTGAME-26MAR132110LADSEA-SEA
2026-03-12 21:26:58,582 | INFO | Subscribed: {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'orderbook_delta', 'sid': 1}}
2026-03-12 21:26:58,587 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.34, 23.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:58,588 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6600'), 64.0)
2026-03-12 21:26:58,590 | INFO | Subscribed: {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'trade', 'sid': 2}}
2026-03-12 21:26:58,637 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.34, 23.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:58,637 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.33, 24.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:58,637 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 28.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:58,637 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 28.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:59,107 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:59,168 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:26:59,177 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6600'), 64.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,735 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,745 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 72.0) | Best Ask: (Decimal('0.5700'), 891.0)
2026-03-12 21:27:00,745 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6600'), 64.0)
2026-03-12 21:27:00,745 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6600'), 64.0)
2026-03-12 21:29:34,521 | INFO | Connected! Subscribing to orderbook for KXMLBSTGAME-26MAR132110LADSEA-LAD, KXMLBSTGAME-26MAR132110LADSEA-SEA
2026-03-12 21:29:34,544 | INFO | Subscribed: {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'orderbook_delta', 'sid': 1}}
2026-03-12 21:29:34,547 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
2026-03-12 21:29:34,547 | INFO | Loaded snapshot for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6800'), 64.0)
2026-03-12 21:29:34,547 | INFO | Subscribed: {'type': 'subscribed', 'id': 1, 'msg': {'channel': 'trade', 'sid': 2}}
2026-03-12 21:29:44,275 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6800'), 64.0)
2026-03-12 21:29:44,277 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 545.0) | Best Ask: (Decimal('0.6800'), 64.0)
2026-03-12 21:29:48,390 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
2026-03-12 21:29:48,390 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
2026-03-12 21:30:42,260 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
2026-03-12 21:30:42,260 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
2026-03-12 21:30:42,260 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.32, 23.0) | Best Ask: (Decimal('0.5200'), 8.0)
