2026-02-27 21:29:45,372 | INFO | Connecting to wss://api.polymarket.us/v1/ws/markets
2026-02-27 21:29:45,853 | INFO | Connected to wss://api.polymarket.us/v1/ws/markets
2026-02-27 21:29:45,870 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('874.000')) | Best Ask: (Decimal('0.580'), Decimal('389.000'))
2026-02-27 21:29:45,870 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.420'), Decimal('389.000')) | Best Ask: (Decimal('0.470'), Decimal('874.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27 | Best Bid: (Decimal('0.960'), Decimal('3669.000')) | Best Ask: (Decimal('0.980'), Decimal('1030.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27-inverse | Best Bid: (Decimal('0.020'), Decimal('1030.000')) | Best Ask: (Decimal('0.040'), Decimal('3669.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-bos-2026-02-27 | Best Bid: (None, None) | Best Ask: (Decimal('0.020'), Decimal('650.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-bos-2026-02-27-inverse | Best Bid: (Decimal('0.980'), Decimal('650.000')) | Best Ask: (None, None)
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27 | Best Bid: (Decimal('0.780'), Decimal('3934.000')) | Best Ask: (Decimal('0.800'), Decimal('35.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27-inverse | Best Bid: (Decimal('0.200'), Decimal('35.000')) | Best Ask: (Decimal('0.220'), Decimal('3934.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-den-okc-2026-02-27 | Best Bid: (Decimal('0.300'), Decimal('14185.000')) | Best Ask: (Decimal('0.310'), Decimal('79638.000'))
2026-02-27 21:29:45,871 | INFO | Loaded snapshot for Asset ID: aec-nba-den-okc-2026-02-27-inverse | Best Bid: (Decimal('0.690'), Decimal('79638.000')) | Best Ask: (Decimal('0.700'), Decimal('14185.000'))
2026-02-27 21:29:45,965 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('2270.000')) | Best Ask: (Decimal('0.580'), Decimal('189.000'))
