timestamp,event_type,price,side,size,best_bid,best_ask
,book,0.4300,BUY,18074,0.4300,0.44
,book,0.44,SELL,481532,0.4300,0.44
2026-01-03T20:41:20.133567Z,price_change,0.4,BUY,-18483,0.43,0.44
2026-01-03T20:41:20.134941Z,price_change,0.4,BUY,-56849,0.43,0.44
2026-01-03T20:41:20.136Z,price_change,0.4,BUY,-14096,0.43,0.44
2026-01-03T20:41:20.13698Z,price_change,0.42,BUY,22327,0.43,0.44
2026-01-03T20:41:20.138134Z,price_change,0.43999999999999995,SELL,-18064,0.43,0.43999999999999995
2026-01-03T20:41:20.139023Z,price_change,0.43999999999999995,SELL,-2005,0.43,0.44
2026-01-03T20:41:20.139856Z,price_change,0.43999999999999995,SELL,-17102,0.43,0.43999999999999995
2026-01-03T20:41:20.140711Z,price_change,0.45999999999999996,SELL,41840,0.43,0.43999999999999995
2026-01-03T20:41:20.141985Z,price_change,0.44999999999999996,SELL,1181,0.43,0.43999999999999995
2026-01-03T20:41:20.204995Z,price_change,0.41,BUY,-23,0.43,0.43999999999999995
2026-01-03T20:41:20.204995Z,price_change,0.42,BUY,23,0.43,0.43999999999999995
2026-01-03T20:41:20.237604Z,price_change,0.43999999999999995,SELL,-18360,0.43,0.44
2026-01-03T20:41:20.238358Z,price_change,0.43999999999999995,SELL,-49,0.43,0.43999999999999995
2026-01-03T20:41:20.239569Z,price_change,0.43999999999999995,SELL,-29,0.43,0.44
2026-01-03T20:41:20.240659Z,price_change,0.43999999999999995,SELL,-103,0.43,0.43999999999999995
2026-01-03T20:41:20.241657Z,price_change,0.43999999999999995,SELL,-294,0.43,0.44
2026-01-03T20:41:20.242551Z,price_change,0.43999999999999995,SELL,-490,0.43,0.43999999999999995
2026-01-03T20:41:20.243534Z,price_change,0.43999999999999995,SELL,-495,0.43,0.44
2026-01-03T20:41:20.24466Z,price_change,0.43999999999999995,SELL,-49,0.43,0.43999999999999995
2026-01-03T20:41:20.245789Z,price_change,0.43999999999999995,SELL,-201,0.43,0.44
2026-01-03T20:41:20.246568Z,price_change,0.43999999999999995,SELL,-1058,0.43,0.43999999999999995
2026-01-03T20:41:20.247699Z,price_change,0.43999999999999995,SELL,-452,0.43,0.44
2026-01-03T20:41:20.250504Z,price_change,0.43999999999999995,SELL,-21277,0.43,0.43999999999999995
2026-01-03T20:41:20.251886Z,price_change,0.44999999999999996,SELL,-389,0.43,0.43999999999999995
2026-01-03T20:41:20.306178Z,price_change,0.45999999999999996,SELL,48240,0.43,0.43999999999999995
2026-01-03T20:41:20.352474Z,price_change,0.44999999999999996,SELL,-500,0.43,0.43999999999999995
2026-01-03T20:41:20.352474Z,price_change,0.45999999999999996,SELL,500,0.43,0.43999999999999995
2026-01-03T20:41:20.372806Z,price_change,0.49,SELL,5,0.43,0.43999999999999995
2026-01-03T20:41:20.377719Z,price_change,0.43999999999999995,SELL,-5,0.43,0.44
2026-01-03T20:41:20.384669Z,price_change,0.42,BUY,5,0.43,0.44
2026-01-03T20:41:20.391222Z,price_change,0.43999999999999995,SELL,-5000,0.43,0.43999999999999995
2026-01-03T20:41:20.39823Z,price_change,0.41,BUY,-5000,0.43,0.43999999999999995
2026-01-03T20:41:20.39823Z,price_change,0.42,BUY,5000,0.43,0.43999999999999995
2026-01-03T20:41:20.429448Z,price_change,0.47,SELL,8000,0.43,0.43999999999999995
2026-01-03T20:41:20.478825Z,price_change,0.49,SELL,-5,0.43,0.43999999999999995
2026-01-03T20:41:20.4824Z,price_change,0.48,SELL,5,0.43,0.43999999999999995
2026-01-03T20:41:20.515675Z,price_change,0.41,BUY,-100,0.43,0.43999999999999995
2026-01-03T20:41:20.612565Z,price_change,0.47,SELL,5,0.43,0.43999999999999995
2026-01-03T20:41:20.616057Z,price_change,0.48,SELL,-5,0.43,0.43999999999999995
2026-01-03T20:41:20.665926Z,price_change,0.44999999999999996,SELL,-75,0.43,0.43999999999999995
2026-01-03T20:41:20.76119Z,price_change,0.44999999999999996,SELL,5000,0.43,0.43999999999999995
2026-01-03T20:41:20.763834Z,price_change,0.43999999999999995,SELL,-40,0.43,0.44
2026-01-03T20:41:21.014867Z,price_change,0.45999999999999996,SELL,-1474,0.43,0.44
2026-01-03T20:41:21.04455Z,price_change,0.45999999999999996,SELL,-100,0.43,0.44
2026-01-03T20:41:21.753791Z,price_change,0.45999999999999996,SELL,1901,0.43,0.44
2026-01-03T20:41:28.230296Z,price_change,0.43,BUY,9,0.43,0.44
2026-01-03T20:41:28.949138Z,price_change,0.44999999999999996,SELL,-980,0.43,0.44
2026-01-03T20:41:30.682589Z,price_change,0.44999999999999996,SELL,75,0.43,0.44
2026-01-03T20:41:30.890814Z,price_change,0.42,BUY,75,0.43,0.44
2026-01-03T20:41:31.732998Z,price_change,0.43999999999999995,SELL,-23,0.43,0.43999999999999995
2026-01-03T20:41:32.445632Z,price_change,0.44999999999999996,SELL,-435,0.43,0.43999999999999995
2026-01-03T20:41:32.60681Z,price_change,0.44999999999999996,SELL,-1181,0.43,0.43999999999999995
2026-01-03T20:41:32.608706Z,price_change,0.44999999999999996,SELL,-2873,0.43,0.43999999999999995
2026-01-03T20:41:32.63526Z,price_change,0.44999999999999996,SELL,-1701,0.43,0.43999999999999995
2026-01-03T20:41:33.570885Z,price_change,0.43,BUY,-84,0.43,0.43999999999999995
2026-01-03T20:41:40.299393Z,price_change,0.43999999999999995,SELL,-10,0.43,0.44
2026-01-03T20:41:40.838537Z,price_change,0.41,BUY,100,0.43,0.44
